"Date","Price","Condition","YearBuilt","Age","HouseType","Storey","Neighbours","Orientation","Community","M2built","M2eff","Bedrooms","Bathrooms","Bathrooms2","Elevator","Heating","Water","ParkingPlaces","Cod","CP","District","DirExacta","Type","Street","Num","Origin","Neighbourhood"
"2010-04-29",280000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,2,NA,50,82,69,2,2,NA,TRUE,"individual","central",0,"VW0000003011648",48006,"Ibaiondo",TRUE,"CALLE","ITURRIBIDE","46","PARTICULAR",20
"2010-09-06",261440,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,2,NA,50,82,69,2,2,NA,TRUE,"individual","central",0,"VW0000003011648",48006,"Ibaiondo",TRUE,"CALLE","ITURRIBIDE","46","PARTICULAR",20
"2011-03-23",253000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,2,NA,50,82,69,2,2,NA,TRUE,"individual","central",0,"VW0000003011648",48006,"Ibaiondo",TRUE,"CALLE","ITURRIBIDE","46","PARTICULAR",20
"2010-06-22",370000,"segunda mano / a reformar",NA,"+ 30 años","  piso",7,3,"norte",60,120,105,3,2,NA,TRUE,"individual","central",0,"VW0000003157986",48012,"Rekalde",TRUE,"CALLE","AUTONOMIA","9","PARTICULAR",3
"2011-04-08",1000000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,2,"sur",0,210,0,4,3,NA,TRUE,"individual","central",0,"VW0000004060945",48001,"Abando - Albia",TRUE,"CALLE","COLON DE LARREATEGUI","22","PARTICULAR",NA
"2010-02-14",500000,"segunda mano / a reformar",NA,"+ 30 años","casa o chalet independiente",3,NA,"sur",0,250,215,7,1,NA,FALSE,"central","colectiva",0,"VW0000002843619",48007,"Uribarri",TRUE,"TRAVESIA","CIUDAD JARDIN","36","PARTICULAR",NA
"2010-02-15",510000,"segunda mano / a reformar",NA,"+ 30 años","casa o chalet independiente",3,NA,"sur",0,250,215,7,1,NA,FALSE,"central","colectiva",0,"VW0000002843619",48007,"Uribarri",TRUE,"TRAVESIA","CIUDAD JARDIN","36","PARTICULAR",NA
"2010-06-01",474800,"segunda mano / a reformar",NA,"+ 30 años","casa o chalet independiente",3,NA,"sur",0,250,215,7,1,NA,FALSE,"central","colectiva",0,"VW0000002843619",48007,"Uribarri",TRUE,"TRAVESIA","CIUDAD JARDIN","36","PARTICULAR",NA
"2011-01-05",270000,"segunda mano / buen estado",NA,"no consta","  piso",2,NA,"sur",0,83,70,1,1,NA,TRUE,"individual","central",0,"VW0000003756284",48005,"Casco Viejo",TRUE,"CALLE","RONDA","32","PARTICULAR",11
"2011-02-15",260000,"segunda mano / buen estado",NA,"+ 30 años","  piso",4,2,NA,30,83,70,3,1,NA,FALSE,"individual","central",0,"VW0000003897036",48007,"Uribarri",TRUE,"CALLE","TIVOLI","9","PARTICULAR",26
"2010-03-25",1400000,"promoción de obra nueva",NA,"no consta","  piso",NA,NA,NA,NA,154,113,3,2,NA,TRUE,"desc/no tiene","no tiene",0,"VP0000003134746",48011,"Indautxu",TRUE,"CALLE","LEHENDAKARI LEIZAOLA","S/N","AGENCIA",NA
"2009-08-10",315000,"segunda mano / buen estado",NA,"+ 30 años","  dúplex",3,1,NA,10,95,0,3,1,NA,FALSE,"individual","central",0,"VW0000002454383",48012,"Rekalde",TRUE,"AVENIDA","ZUBEROA","25","PARTICULAR",19
"2010-06-18",299000,"segunda mano / buen estado",NA,"+ 30 años","  dúplex",3,1,NA,10,95,0,3,1,NA,FALSE,"individual","central",0,"VW0000002454383",48012,"Rekalde",TRUE,"AVENIDA","ZUBEROA","25","PARTICULAR",19
"2010-07-26",290000,"segunda mano / buen estado",NA,"+ 30 años","  dúplex",3,1,NA,10,95,0,3,1,NA,FALSE,"individual","central",0,"VW0000002454383",48012,"Rekalde",TRUE,"AVENIDA","ZUBEROA","25","PARTICULAR",19
"2010-10-04",285000,"segunda mano / buen estado",NA,"+ 30 años","  dúplex",3,1,NA,10,95,0,3,1,NA,FALSE,"individual","central",0,"VW0000002454383",48012,"Rekalde",TRUE,"AVENIDA","ZUBEROA","25","PARTICULAR",19
"2011-01-24",278000,"segunda mano / buen estado",NA,"+ 30 años","  dúplex",3,1,NA,10,95,0,3,1,NA,FALSE,"individual","central",0,"VW0000002454383",48012,"Rekalde",TRUE,"AVENIDA","ZUBEROA","25","PARTICULAR",19
"2010-06-07",263850,"segunda mano / buen estado",NA,"+ 30 años","  piso",7,3,NA,40,58,53,2,1,NA,TRUE,"individual","central",0,"VC0000003131938",48006,"Ibaiondo",TRUE,"CALLE","ZABALBIDE","29","PARTICULAR",34
"2010-07-02",282476,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,NA,70,65,2,1,NA,TRUE,"individual",NA,0,"VC0000003207535",48006,"Begoña - Santutxu",TRUE,"CALLE","MAZUSTEGUI","5","PARTICULAR",NA
